search_term,encoding_guess,match_type,code_addr_or_offset,raw_bytes_hex,decoded_candidate,confidence,evidence_level,notes
АДР,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АДР.,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АДР.,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АДР.,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
МОДУЛЬ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
МОДУЛЬ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
МОДУЛЬ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ТИП,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ТИП,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ТИП,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
НОРМА,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
НОРМА,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
НОРМА,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПОЖАР,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПОЖАР,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПОЖАР,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ВНИМАНИЕ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ВНИМАНИЕ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ВНИМАНИЕ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
НЕИСПР,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
НЕИСПР,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
НЕИСПР,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПРОГРАММА,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПРОГРАММА,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПРОГРАММА,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
КОНТРОЛЬ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
КОНТРОЛЬ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
КОНТРОЛЬ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
СВЯЗЬ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
СВЯЗЬ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
СВЯЗЬ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ТЕСТ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ТЕСТ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ТЕСТ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
РУЧНОЙ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
РУЧНОЙ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
РУЧНОЙ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АВТ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АВТ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АВТ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОСНОВНОЕ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОСНОВНОЕ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОСНОВНОЕ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
РЕЗЕРВНОЕ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
РЕЗЕРВНОЕ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
РЕЗЕРВНОЕ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПУСК,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПУСК,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ПУСК,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОТБОЙ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОТБОЙ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОТБОЙ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
СБРОС,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
СБРОС,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
СБРОС,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОТКЛ,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОТКЛ,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ОТКЛ,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ЗВУКА,cp1251,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ЗВУКА,koi8_r,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
ЗВУКА,ascii_transliteration,no_direct_match,,,,low,static_code,"No direct byte-string match in 90CYE02_27 DKS.PZU, 90CYE03_19_DKS.PZU, 90CYE04_19_DKS.PZU"
АДР,custom_lcd_cyrillic_hypothesis,no_direct_match,,,,low,hypothesis,No confirmed custom Cyrillic map; only anchor-driven table/pattern search performed
МОДУЛЬ,custom_lcd_cyrillic_hypothesis,no_direct_match,,,,low,hypothesis,No confirmed custom Cyrillic map; only anchor-driven table/pattern search performed
ТИП,custom_lcd_cyrillic_hypothesis,no_direct_match,,,,low,hypothesis,No confirmed custom Cyrillic map; only anchor-driven table/pattern search performed
НОРМА,custom_lcd_cyrillic_hypothesis,no_direct_match,,,,low,hypothesis,No confirmed custom Cyrillic map; only anchor-driven table/pattern search performed
