branch,file,screen_slot,module_label,function_addr,handler_role_candidate,attribution_confidence,evidence_sources,evidence_level,reason,unknowns,next_validation
90CYE_DKS,90CYE03_19_DKS.PZU,X04,unknown_MSHS_like,0x84A6,mode_event_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X04,unknown_MSHS_like,0x84A6,mode_event_bridge,probable,function_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X05,unknown_MEK_like,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X05,unknown_MEK_like,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X05,unknown_MEK_like,0x613C,mds_state_update,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X05,unknown_MEK_like,0x613C,mds_state_update,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X05,unknown_MEK_like,0x6833,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X05,unknown_MEK_like,0x6833,shared_dispatch_or_bridge,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X05,unknown_MEK_like,0x728A,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X05,unknown_MEK_like,0x728A,shared_dispatch_or_bridge,probable,function_map,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X05,unknown_MEK_like,0x737C,zone_object_logic,probable,function_map|mash_handler_deep_trace_summary|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X05,unknown_MEK_like,0x737C,zone_object_logic,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X05,unknown_MEK_like,0x84A6,mode_event_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X05,unknown_MEK_like,0x84A6,mode_event_bridge,probable,function_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X06,MUP,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|mds_mup_module_candidates|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X06,MUP,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|mds_mup_module_candidates|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X06,MUP,0x5A7F,packet_export_bridge,probable,function_map|manual_auto_branch_map|mds_mup_module_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X06,MUP,0x5A7F,packet_export_bridge,probable,function_map|mds_mup_module_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X06,MUP,0x613C,mds_state_update,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X06,MUP,0x613C,mds_state_update,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X06,MUP,0x6833,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X06,MUP,0x728A,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X06,MUP,0x84A6,mode_event_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X07,PVK,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X07,PVK,0x497A,shared_runtime_bridge,probable,function_map|input_board_core_matrix|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X07,PVK,0x5A7F,packet_export_bridge,probable,function_map|manual_auto_branch_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X07,PVK,0x613C,mds_state_update,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X07,PVK,0x613C,mds_state_update,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,exclusive ownership not proven,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X07,PVK,0x6833,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X07,PVK,0x6833,shared_dispatch_or_bridge,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X07,PVK,0x728A,shared_dispatch_or_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X07,PVK,0x728A,shared_dispatch_or_bridge,probable,function_map,manual_decompile,shared chain function appears across multiple module contexts,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X07,PVK,0x737C,zone_object_logic,probable,function_map|mash_handler_deep_trace_summary|output_control_candidates|xdata_branch_trace_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X07,PVK,0x737C,zone_object_logic,probable,function_map|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE03_19_DKS.PZU,X07,PVK,0x84A6,mode_event_bridge,probable,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_DKS,90CYE04_19_DKS.PZU,X07,PVK,0x84A6,mode_event_bridge,probable,function_map,manual_decompile,shared chain function appears across multiple module contexts; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,X03,MDS,0x673C,object_status_updater,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,X04,MDS,0x673C,object_status_updater,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,X05,MDS,0x673C,object_status_updater,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,X06,MDS_or_MAS,0x673C,object_status_updater,probable,function_map|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,X07,MZK_or_PZK,0x673C,object_status_updater,probable,function_map|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,X08,MZK_or_PZK,0x673C,object_status_updater,probable,function_map|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X03,MDS,0x53E6,mds_state_update,probable,function_map|mds_mup_module_candidates|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X03,MDS,0x758B,shared_runtime_bridge,probable,function_map|mash_handler_deep_trace_summary|mds_mup_module_candidates|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X04,PVK,0x53E6,mds_state_update,probable,function_map|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X04,PVK,0x758B,shared_runtime_bridge,probable,function_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X04,PVK,0xAB62,mash_sensor_state_decoder,probable,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X05,MASH,0x758B,shared_runtime_bridge,probable,function_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X05,MASH,0xAB62,mash_sensor_state_decoder,probable,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X06,MASH,0x758B,shared_runtime_bridge,probable,function_map|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
RTOS_service,ppkp2001 90cye01.PZU,X06,MASH,0xAB62,mash_sensor_state_decoder,probable,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|output_control_candidates,manual_decompile,function repeatedly appears in module-focused traces; manual decompile role available,physical semantic unknown,bench isolate slot activity and correlate XDATA+call path
