branch,file,function_addr,candidate_role,score,confidence,evidence_level,callers,callees,xdata_refs,string_refs,similarity_to_dks_5A7F,notes
A03_A04,A03_26.PZU,0x693B,unknown,1.0,hypothesis,manual_static,0x4204|0x65E9|0x805C|0x8F20,,call_xref_lcalls=4; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x694E,unknown,1.0,hypothesis,manual_static,0x66E4|0x8752|0x8768|0xA27F|0xA290|0xA2A1|0xA2B2|0xA2C3|0xA2D4|0xA2E5|0xA30A|0xA31B|0xA32C|0xA33D|0xA34E|0xA35F|0xA370,,call_xref_lcalls=17; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6990,unknown,1.0,hypothesis,manual_static,0x9F0C,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6991,unknown,1.0,hypothesis,manual_static,0x93F9,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x699C,unknown,1.0,hypothesis,manual_static,0x9FF0|0x9FF8,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x69A3,unknown,1.0,hypothesis,manual_static,0x6587|0x6724|0x79E1|0x8013|0x8FDF|0xA008,0x6A06,call_xref_lcalls=6; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x69AC,unknown,1.0,hypothesis,manual_static,0x665C,0x6A06,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x69B7,unknown,1.0,hypothesis,manual_static,0xA001,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x69C6,unknown,1.0,hypothesis,manual_static,0x65DA|0x806D|0x812B,,call_xref_lcalls=3; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x69CE,unknown,1.0,hypothesis,manual_static,0x653F|0x6590|0x662C|0x6644|0x6732,0x6A06,call_xref_lcalls=5; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6A06,unknown,1.0,hypothesis,manual_static,0x69A3|0x69AC|0x69CE,,call_xref_lcalls=3; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6A15,unknown,1.0,hypothesis,manual_static,0x80B9,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6AE9,unknown,1.0,hypothesis,manual_static,0x6491|0x64AD|0x64B0|0x64B3|0x64B6,,call_xref_lcalls=5; bb_parent_hits=2,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6B0F,unknown,1.0,hypothesis,manual_static,0x64B9|0x64DF,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6B22,unknown,1.0,hypothesis,manual_static,0x6B19|0x6B1C|0x6B1F|0x86A4|0x887C|0x8895,,call_xref_lcalls=6; bb_parent_hits=2,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6B3A,unknown,1.0,hypothesis,manual_static,0x649E|0x8877|0x8890,,call_xref_lcalls=3; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6B58,unknown,2.0,hypothesis,manual_static,0x86F5|0x872B,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6B96,unknown,1.0,hypothesis,manual_static,0x80A7|0xAE6E,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6B99,unknown,1.0,hypothesis,manual_static,0x8EBA,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6BA2,unknown,1.0,hypothesis,manual_static,0xADEB,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6BA5,unknown,2.0,hypothesis,manual_static,0x8EE5,,call_xref_lcalls=1; bb_parent_hits=7,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6C21,unknown,1.0,hypothesis,manual_static,0x66CE,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6C3C,unknown,2.0,hypothesis,manual_static,0x8FBA,,call_xref_lcalls=1; bb_parent_hits=10,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6C7E,state_reader_or_packet_builder,3.0,hypothesis,manual_static,0x647D|0xAE84,,call_xref_lcalls=2; bb_parent_hits=25,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D2D,unknown,1.0,hypothesis,manual_static,0x945B|0x9EF9,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D2E,unknown,1.0,hypothesis,manual_static,0x64FF|0x6531|0x659C|0x65B0|0x65C9|0x65E6|0x6609|0x661A|0x6639|0x6651|0x6669|0x6708|0x6720|0x672E|0x67B6|0x67F1|0x6CDA|0x709A|0x8021|0x8122|0x816C|0x875A|0x8765|0x8F7B|0x8FEA|0x9433|0x9446|0x946C|0x9491|0x94D7|0x9F22|0x9F6A|0xA011,,call_xref_lcalls=33; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D38,unknown,1.0,hypothesis,manual_static,0x6556|0x6788|0x9FE4|0xA90A,,call_xref_lcalls=4; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D56,unknown,2.0,hypothesis,manual_static,0x6601|0x6612,,call_xref_lcalls=2; bb_parent_hits=2,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D5D,unknown,1.0,hypothesis,manual_static,0x6594|0x65DE|0x6631|0x6649|0x6661,,call_xref_lcalls=5; bb_parent_hits=2,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D6F,unknown,1.0,hypothesis,manual_static,0x947B,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D7E,unknown,1.0,hypothesis,manual_static,0x9F01,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D83,unknown,1.0,hypothesis,manual_static,0x8059|0x8749|0x8755,,call_xref_lcalls=3; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D88,unknown,1.0,hypothesis,manual_static,0x874F|0x8760|0x8F1D,,call_xref_lcalls=3; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6D8D,state_reader_or_packet_builder,3.0,hypothesis,manual_static,0x8781,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x6DC7,unknown,2.0,hypothesis,manual_static,0x8028,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x708A,unknown,1.0,hypothesis,manual_static,0x80AE,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x7099,unknown,2.0,hypothesis,manual_static,0x8042|0x807B,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x70B3,state_reader_or_packet_builder,4.0,hypothesis,manual_static,0x647A,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x7259,state_reader_or_packet_builder,7.0,hypothesis,manual_static,0x6672,0x7339,queue@0x329C; call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x7339,state_update_worker,6.0,hypothesis,manual_static,0x7259,,queue@0x329C; aux@0x3298/0x32A2; call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x7953,dispatcher_or_router,7.0,hypothesis,manual_static,0x80A4,,queue@0x329C; call_xref_lcalls=1; bb_parent_hits=6,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x800B,dispatcher_or_router,4.0,hypothesis,manual_static,0xAE3D,,call_xref_lcalls=1; bb_parent_hits=13,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x80C3,state_update_worker,3.0,hypothesis,manual_static,0x8018,,call_xref_lcalls=1; bb_parent_hits=9,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x810E,state_update_worker,3.0,hypothesis,manual_static,0xAE87,,call_xref_lcalls=1; bb_parent_hits=7,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8692,unknown,2.0,hypothesis,manual_static,0xAE91,,call_xref_lcalls=1; bb_parent_hits=5,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x86C5,state_update_worker,3.0,hypothesis,manual_static,0xAE81,,call_xref_lcalls=1; bb_parent_hits=13,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8741,dispatcher_or_router,4.0,hypothesis,manual_static,0x80C0,,call_xref_lcalls=1; bb_parent_hits=7,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x886D,dispatcher_or_router,3.0,hypothesis,manual_static,0xAE40,,aux@0x3298/0x32A2; call_xref_lcalls=1; bb_parent_hits=14,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8904,dispatcher_or_router,10.0,probable,manual_static,0xAE4D,,queue@0x329C; selector@0x329D; aux@0x3298/0x32A2; call_xref_lcalls=1; bb_parent_hits=34,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,medium,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x89EE,unknown,1.0,hypothesis,manual_static,0x8979,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x89FE,unknown,1.0,hypothesis,manual_static,0x898F,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8A16,unknown,1.0,hypothesis,manual_static,0x89A4,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8A2E,unknown,3.0,hypothesis,manual_static,0x89B9,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,medium,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8A42,unknown,1.0,hypothesis,manual_static,0x89CE,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8A5E,unknown,1.0,hypothesis,manual_static,0x89F6|0x8A06|0x8A1E|0x8A36|0x8A4A,,call_xref_lcalls=5; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8B0B,state_update_worker,6.0,hypothesis,manual_static,0x673D,,queue@0x329C; call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8E92,unknown,1.0,hypothesis,manual_static,0x6509,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8EB1,state_reader_or_packet_builder,3.0,hypothesis,manual_static,0xAE7E,,call_xref_lcalls=1; bb_parent_hits=8,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8EF3,unknown,1.0,hypothesis,manual_static,0x6570|0x6575|0x8091,,call_xref_lcalls=3; bb_parent_hits=5,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8F01,unknown,1.0,hypothesis,manual_static,0x9F12,,call_xref_lcalls=1; bb_parent_hits=4,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8F0F,unknown,3.0,hypothesis,manual_static,0x6477,,call_xref_lcalls=1; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8F5B,unknown,2.0,hypothesis,manual_static,0x64BF|0x64E5,,call_xref_lcalls=2; bb_parent_hits=6,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8F80,unknown,1.0,hypothesis,manual_static,0x64C7|0x64ED,,call_xref_lcalls=2; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8F9D,unknown,1.0,hypothesis,manual_static,0xAE94,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8FAF,unknown,3.0,hypothesis,manual_static,0xAE07,,call_xref_lcalls=1; bb_parent_hits=5,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8FCC,unknown,2.0,hypothesis,manual_static,0xAE14|0xAE1A,,call_xref_lcalls=2; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x8FD7,state_reader_or_packet_builder,3.0,hypothesis,manual_static,0xAE11|0xAE17,,call_xref_lcalls=2; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x93B4,unknown,1.0,hypothesis,manual_static,0x6CD1,,call_xref_lcalls=1; bb_parent_hits=7,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x941F,unknown,1.0,hypothesis,manual_static,0xA015,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x9424,unknown,1.0,hypothesis,manual_static,0x8065,,call_xref_lcalls=1; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x942A,unknown,2.0,hypothesis,manual_static,0xAE1D|0xAE29,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x9439,dispatcher_or_router,3.0,hypothesis,manual_static,0xAE20|0xAE2C,,call_xref_lcalls=2; bb_parent_hits=8,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x9481,unknown,2.0,hypothesis,manual_static,0xAE26|0xAE32,,call_xref_lcalls=2; bb_parent_hits=3,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x948C,unknown,1.0,hypothesis,manual_static,0x66F9|0x9EF1,,call_xref_lcalls=2; bb_parent_hits=1,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
A03_A04,A03_26.PZU,0x94CE,unknown,2.0,hypothesis,manual_static,0x6710,,call_xref_lcalls=1; bb_parent_hits=2,0x5010:A.03 Serovskaq|0x5010:A.04 Serovskaq,low,A03/A04-specific candidate; DKS 0x5A7F used only as structural comparator
