branch,file,module_type,presence_evidence,strongest_functions,analog_to_dks,confidence,evidence_level,application_notes,unknowns,next_static_step,next_external_evidence_needed
90CYE_DKS,90CYE04_19_DKS.PZU,keyboard/display/menu/front panel,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,MASH,present,0x497A|0x737C|0x84A6,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,MDS,present,0x497A|unknown,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,MUP,present,0x497A|unknown,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,PVK,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,MVK,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,input signal board,present,0x497A,yes,probable,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,packet/export,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,output/action,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,object/status layer,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_DKS,90CYE04_19_DKS.PZU,unknown modules,present,0x497A|0x5A7F|0x613C|unknown,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,CPU/runtime core,present,0x497F,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,keyboard/display/menu/front panel,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,MASH,present,0x497F|0x7574,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,MDS,present,0x497F|unknown,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,MUP,present,0x497F,yes,hypothesis,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,PVK,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,MVK,present,0x497F,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,input signal board,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,packet/export,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,output/action,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,object/status layer,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,unknown modules,present,0x497F|0x655F|0x774F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,CPU/runtime core,present,0x497F,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,keyboard/display/menu/front panel,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,MASH,present,0x497F|0x8BE5,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,MDS,present,0x497F,yes,probable,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,MUP,present,0x497F,yes,hypothesis,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,PVK,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,MVK,present,0x497F,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,input signal board,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,packet/export,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,output/action,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,object/status layer,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_v2_1,90CYE03_19_2 v2_1.PZU,unknown modules,present,0x497F|0x72AB|0x93F9,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,CPU/runtime core,present,0x497F,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,keyboard/display/menu/front panel,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,MASH,present,0x497F|0x8BE5,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,MDS,present,0x497F,yes,probable,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,MUP,present,0x497F,yes,hypothesis,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,PVK,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,MVK,present,0x497F,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,input signal board,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,packet/export,present,0x497F,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,output/action,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,object/status layer,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
90CYE_v2_1,90CYE04_19_2 v2_1.PZU,unknown modules,present,0x497F|0x72AB|0x93F9,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,CPU/runtime core,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,keyboard/display/menu/front panel,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,MASH,present,0x497A|0x800B|0x8904,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,MDS,present,0x497A,yes,probable,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,MUP,present,0x497A,yes,hypothesis,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,PVK,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
A03_A04,A03_26.PZU,MVK,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,input signal board,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,packet/export,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A03_26.PZU,output/action,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
A03_A04,A03_26.PZU,object/status layer,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
A03_A04,A03_26.PZU,unknown modules,present,0x497A|0x6C07|0x722E,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,CPU/runtime core,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,keyboard/display/menu/front panel,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,MASH,present,0x497A|0x800B|0x8904,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,MDS,present,0x497A,yes,hypothesis,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,MUP,present,0x497A,yes,hypothesis,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,PVK,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
A03_A04,A04_28.PZU,MVK,present,0x497A,yes,confirmed,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,input signal board,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,packet/export,present,0x497A,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
A03_A04,A04_28.PZU,output/action,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
A03_A04,A04_28.PZU,object/status layer,unknown,,no,unknown,unknown,aps_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
A03_A04,A04_28.PZU,unknown modules,present,0x497A|0x6C07|0x722E,yes,unknown,callgraph_match,aps_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,CPU/runtime core,present,0x758B,yes,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,keyboard/display/menu/front panel,present,0x758B,yes,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,MASH,present,0x758B|0xA3FD|unknown,yes,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,MDS,present,0x758B|unknown,yes,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,MUP,present,0x758B,yes,hypothesis,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,PVK,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,MVK,present,0x758B,yes,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,input signal board,present,0x758B,yes,probable,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,packet/export,present,0x758B,yes,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,output/action,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,object/status layer,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2001 90cye01.PZU,unknown modules,present,0x758B|0x92EF|0x95B0|unknown,yes,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,CPU/runtime core,present,0x75F7,no,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,keyboard/display/menu/front panel,present,0x75F7,no,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,MASH,present,0x758B|0x75F7|0xA3FD,yes,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,MDS,present,0x75F7,no,probable,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,MUP,present,0x75F7,no,hypothesis,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,PVK,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,MVK,present,0x75F7,no,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,input signal board,present,0x75F7,no,probable,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,packet/export,present,0x75F7,no,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,output/action,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,object/status layer,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2012 a01.PZU,unknown modules,present,0x75F7|0x92EF|0x95B0,no,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,CPU/runtime core,present,0x57DB,no,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,keyboard/display/menu/front panel,present,0x57DB,no,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,MASH,present,0x57DB|0x758B|0xA3FD,yes,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,MDS,present,0x57DB,no,probable,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,MUP,present,0x57DB,no,hypothesis,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,PVK,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,MVK,present,0x57DB,no,confirmed,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,input signal board,present,0x57DB,no,probable,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,packet/export,present,0x57DB,no,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,output/action,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,object/status layer,unknown,,no,unknown,unknown,service_rtos_like,needs deeper isolation,expand candidate scan,bench module isolation for semantics
RTOS_service,ppkp2019 a02.PZU,unknown modules,present,0x57DB|0x92EF|0x95B0,no,unknown,callgraph_match,service_rtos_like,,manual deep trace,bench module isolation for semantics
