branch,file,function_addr,caller_addr,callee_addr,call_context,pre_call_setup,post_call_behavior,confidence,evidence_level,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x604B,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x7851,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x604B,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x7851,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x604B,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x604B,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x6200,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,0x7773,0x7773,0x604B,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,In shifted_DKS branch neighborhood around 0x32B3/0x3104/0x31DD; status-bit semantics remain unproven.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x84A6,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x5A7F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x74C0,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x597F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x5A7F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x597F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x5A7F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x597F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x5A7F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x5A7F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
90CYE_DKS,90CYE03_19_DKS.PZU,0x73FD,0x73FD,0x5A7F,in-function callee,register/xdata staging in bounded window,branch/write continuation,low_to_medium,static_code,Direct caller envelope for 0x737C/0x84A6 context staging without physical output mapping claims.
