branch,file,screen_name,device_version,slot,module_label,label_confidence,function_addr,candidate_role,module_presence_confidence,function_candidate_confidence,evidence_level,evidence_sources,xdata_refs,calls_in,calls_out,call_targets,packet_export_path,related_known_chain,score,notes
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x497F,unknown_module_dispatcher,hypothesis,hypothesis,code_indirect,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|output_control_candidates,17,0,0,,possible,,0.368,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x8A42,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,9,1,0,,possible,,0.286,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x7574,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,3,1,0,,possible,,0.262,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x774F,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,23,1,0,,possible,,0.262,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x6DCB,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,33,1,0,,unknown,,0.252,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x7E49,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,16,1,0,,possible,,0.234,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x8042,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map,27,1,1,0x7709,unknown,,0.108,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X06,MDS_or_MAS,uncertain_from_screen,0x745A,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map,6,2,0,,unknown,,0.024,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x673C,unknown_module_state_update,hypothesis,hypothesis,code_indirect,function_map|output_control_candidates,77,1,0,,possible,,0.370,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x497F,unknown_module_dispatcher,hypothesis,hypothesis,code_indirect,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|output_control_candidates,17,0,0,,possible,,0.368,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x8A42,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,9,1,0,,possible,,0.286,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x7574,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,3,1,0,,possible,,0.262,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x774F,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,23,1,0,,possible,,0.262,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x6DCB,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,33,1,0,,unknown,,0.252,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x7E49,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,16,1,0,,possible,,0.234,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x8042,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map,27,1,1,0x7709,unknown,,0.108,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X07,MZK_or_PZK,uncertain_from_screen,0x745A,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map,6,2,0,,unknown,,0.024,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x673C,unknown_module_state_update,hypothesis,hypothesis,code_indirect,function_map|output_control_candidates,77,1,0,,possible,,0.370,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x497F,unknown_module_dispatcher,hypothesis,hypothesis,code_indirect,function_map|input_board_core_matrix|mash_handler_deep_trace_summary|output_control_candidates,17,0,0,,possible,,0.368,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x8A42,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,9,1,0,,possible,,0.286,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x7574,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,3,1,0,,possible,,0.262,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x774F,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,23,1,0,,possible,,0.262,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x6DCB,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,33,1,0,,unknown,,0.252,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x7E49,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,16,1,0,,possible,,0.234,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x8042,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map,27,1,1,0x7709,unknown,,0.108,screen-level module presence is separate from function candidate confidence
90CYE_shifted_DKS,90CYE02_27 DKS.PZU,90CYE02,ППКП-01Ф-27.00,X08,MZK_or_PZK,uncertain_from_screen,0x745A,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map,6,2,0,,unknown,,0.024,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,0x497A,mds_event_generation,confirmed,confirmed,code_direct,function_map|input_board_core_matrix|mds_mup_module_candidates|output_control_candidates|xdata_branch_trace_map,47,0,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.910,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,0x613C,mds_event_generation,confirmed,confirmed,code_direct,function_map|mds_mup_module_candidates|output_control_candidates,55,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.870,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,0x5A7F,mds_event_generation,confirmed,probable,code_indirect,function_map|manual_auto_branch_map|mds_mup_module_candidates,0,95,0,,hypothesis,packet/export path,0.550,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x497A,unknown_module_dispatcher,hypothesis,hypothesis,code_indirect,function_map|input_board_core_matrix|output_control_candidates|xdata_branch_trace_map,47,0,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.410,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x613C,unknown_module_state_update,hypothesis,hypothesis,code_indirect,function_map|output_control_candidates,55,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.370,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x84A6,unknown_module_dispatcher,hypothesis,hypothesis,code_indirect,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,14,2,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.356,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x728A,unknown_module_dispatcher,hypothesis,hypothesis,heuristic_only,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,9,1,0,,hypothesis,mode_gate (manual packet-only vs auto output+packet),0.336,screen-level module presence is separate from function candidate confidence; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x7017,unknown_module_dispatcher,hypothesis,hypothesis,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,21,1,0,,possible,,0.334,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x737C,unknown_module_dispatcher,hypothesis,hypothesis,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates|xdata_branch_trace_map,17,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.320,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x6833,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map|manual_auto_branch_map|output_control_candidates,18,2,0,,hypothesis,auto-like output start path,0.242,screen-level module presence is separate from function candidate confidence; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x5EDC,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,15,1,0,,unknown,,0.180,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x7D85,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map,41,2,0,,unknown,,0.164,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X04,unknown_MSHS_like,uncertain_from_screen,0x6ACB,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map,23,1,1,0x5E78,unknown,,0.092,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x497A,unknown_module_dispatcher,hypothesis,hypothesis,code_indirect,function_map|input_board_core_matrix|output_control_candidates|xdata_branch_trace_map,47,0,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.410,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x613C,unknown_module_state_update,hypothesis,hypothesis,code_indirect,function_map|output_control_candidates,55,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.370,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x84A6,unknown_module_dispatcher,hypothesis,hypothesis,code_indirect,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,14,2,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.356,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x728A,unknown_module_dispatcher,hypothesis,hypothesis,heuristic_only,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,9,1,0,,hypothesis,mode_gate (manual packet-only vs auto output+packet),0.336,screen-level module presence is separate from function candidate confidence; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x7017,unknown_module_dispatcher,hypothesis,hypothesis,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,21,1,0,,possible,,0.334,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x737C,unknown_module_dispatcher,hypothesis,hypothesis,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates|xdata_branch_trace_map,17,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.320,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x6833,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map|manual_auto_branch_map|output_control_candidates,18,2,0,,hypothesis,auto-like output start path,0.242,screen-level module presence is separate from function candidate confidence; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x5EDC,unknown_module_dispatcher,hypothesis,unknown,heuristic_only,function_map|output_control_candidates,15,1,0,,unknown,,0.180,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x7D85,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map,41,2,0,,unknown,,0.164,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X05,unknown_MEK_like,uncertain_from_screen,0x6ACB,unknown_module_state_update,hypothesis,unknown,heuristic_only,function_map,23,1,1,0x5E78,unknown,,0.092,screen-level module presence is separate from function candidate confidence
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,0x497A,mup_feedback_check,confirmed,probable,code_direct,function_map|input_board_core_matrix|mds_mup_module_candidates|output_control_candidates|xdata_branch_trace_map,47,0,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.838,screen-level module presence is separate from function candidate confidence; MUP not equated with MVK/output module
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,0x613C,mup_feedback_check,confirmed,probable,code_direct,function_map|mds_mup_module_candidates|output_control_candidates,55,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.798,screen-level module presence is separate from function candidate confidence; MUP not equated with MVK/output module
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,0x5A7F,packet_export_bridge,confirmed,hypothesis,code_indirect,function_map|manual_auto_branch_map|mds_mup_module_candidates,0,95,0,,hypothesis,packet/export path,0.548,screen-level module presence is separate from function candidate confidence; MUP not equated with MVK/output module; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,0x84A6,mup_feedback_check,confirmed,hypothesis,code_indirect,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,14,2,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.426,screen-level module presence is separate from function candidate confidence; MUP not equated with MVK/output module
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,0x728A,mup_command_builder,confirmed,hypothesis,code_indirect,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,9,1,0,,hypothesis,mode_gate (manual packet-only vs auto output+packet),0.406,screen-level module presence is separate from function candidate confidence; MUP not equated with MVK/output module; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X06,MUP,confirmed_from_screen,0x6833,mup_start_or_control_action,confirmed,hypothesis,heuristic_only,function_map|manual_auto_branch_map|output_control_candidates,18,2,0,,hypothesis,auto-like output start path,0.312,screen-level module presence is separate from function candidate confidence; MUP not equated with MVK/output module; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x497A,pvk_unknown_dispatcher,confirmed,hypothesis,code_indirect,function_map|input_board_core_matrix|output_control_candidates|xdata_branch_trace_map,47,0,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.410,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x613C,pvk_state_or_feedback,confirmed,hypothesis,code_indirect,function_map|output_control_candidates,55,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.370,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x84A6,pvk_unknown_dispatcher,confirmed,hypothesis,code_indirect,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,14,2,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.356,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x728A,pvk_unknown_dispatcher,confirmed,hypothesis,heuristic_only,function_map|manual_auto_branch_map|mash_handler_deep_trace_summary|output_control_candidates,9,1,0,,hypothesis,mode_gate (manual packet-only vs auto output+packet),0.336,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x7017,pvk_unknown_dispatcher,confirmed,hypothesis,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates,21,1,0,,possible,,0.334,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x737C,pvk_unknown_dispatcher,confirmed,hypothesis,heuristic_only,function_map|mash_handler_deep_trace_summary|output_control_candidates|xdata_branch_trace_map,17,1,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.320,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x6833,pvk_state_or_feedback,confirmed,unknown,heuristic_only,function_map|manual_auto_branch_map|output_control_candidates,18,2,0,,hypothesis,auto-like output start path,0.242,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x5EDC,pvk_unknown_dispatcher,confirmed,unknown,heuristic_only,function_map|output_control_candidates,15,1,0,,unknown,,0.180,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x7D85,pvk_state_or_feedback,confirmed,unknown,heuristic_only,function_map,41,2,0,,unknown,,0.164,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x6ACB,pvk_state_or_feedback,confirmed,unknown,heuristic_only,function_map,23,1,1,0x5E78,unknown,,0.092,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family
90CYE_DKS,90CYE03_19_DKS.PZU,90CYE03,ППКП-01Ф-19.02,X07,PVK,confirmed_from_screen,0x5A7F,pvk_state_or_feedback,confirmed,unknown,heuristic_only,function_map|manual_auto_branch_map,0,95,0,,hypothesis,packet/export path,0.050,screen-level module presence is separate from function candidate confidence; PVK role unresolved; kept as unknown candidate family; link to 0x728A/0x6833/0x5A7F chain remains hypothesis unless direct module dispatch proof appears
90CYE_DKS,90CYE04_19_DKS.PZU,90CYE04,ППКП-01Ф-19.02,X03,MDS,confirmed_from_screen,0x497A,mds_event_generation,confirmed,confirmed,code_direct,function_map|input_board_core_matrix|mds_mup_module_candidates|output_control_candidates,47,0,0,,possible,0x497A->0x737C->0x613C->0x84A6->0x728A,0.908,screen-level module presence is separate from function candidate confidence; MDS kept separate from generic input-board logic
