script,all_firmwares_supported,a03_a04_only,requires_existing_csv,produces_csv,produces_md,default_safe_to_run,notes
scripts/dks_packet_export_reconstructor.py,false,true,true,true,true,true,DKS packet/export reconstruction around 0x5A7F with callsite/context matrices and packet format hypothesis.
scripts/dks_output_action_reconstructor.py,false,true,true,true,true,true,DKS output/start action reconstruction for 0x6833/0x597F/0x7922/0x7DC2 with bench test matrix.
scripts/dks_module_handler_attribution.py,true,false,true,true,true,true,Refines DKS screen slot to handler attribution and unresolved candidates while preserving shared-dispatcher semantics.
scripts/dks_final_techdoc_builder.py,true,false,true,true,true,true,Builds consolidated DKS firmware technical reconstruction v1 report plus confidence dashboard/unknowns/next plan CSVs.
scripts/dks_runtime_validation_planner.py,false,false,true,true,true,true,Builds consolidated DKS runtime validation package (plan/matrix/watchlists/schemas/uplift/roadmap) without claiming bench-confirmed evidence.
scripts/cross_family_function_analog_mapper.py,true,false,true,true,true,true,Maps DKS reference functions to analog candidates in shifted_DKS/v2_1/A03_A04/RTOS_service with separated evidence levels.
scripts/cross_family_xdata_schema_mapper.py,true,false,true,true,true,true,Maps DKS XDATA clusters to conserved/shifted/family-specific candidates without semantic overclaim.
scripts/cross_family_packet_output_comparator.py,true,false,true,true,true,true,Compares packet/export and output-action patterns across families and emits bridge/action candidate matrices.
scripts/cross_family_enum_state_comparator.py,true,false,true,true,true,true,Compares enum/state byte vocabulary across families while keeping branch-specific semantics separate.
scripts/project_guided_micro_decompiler.py,true,false,true,true,true,true,project-guided micro-decompile pass over top static targets with conservative evidence-level gating
scripts/project_guided_micro_decompiler_pass2.py,false,false,true,true,true,true,Pass2 project-guided micro-decompile for follow-up targets in DKS/RTOS_service/shifted_DKS with conservative evidence gating.
scripts/project_guided_micro_decompiler_pass3.py,false,false,true,true,true,true,Pass3 project-guided micro-decompile for unresolved caller envelopes/table origins plus UART/checksum/timer conservative searches.
scripts/project_guided_final_static_boundary.py,false,false,true,true,true,true,Final boundary pass for 0x5A7F caller-block closure and explicit do-not-repeat evidence gates.
scripts/firmware_execution_sandbox.py,false,false,false,true,true,true,Experimental deterministic function-level 8051-subset sandbox; adds boot_probe_static + packet_bridge_seeded_context, PZU metadata, direct/SFR/CODE traces, PC hotspot/control-flow/code-table summaries, and conservative two-channel-aware UART/SBUF candidate outputs without claiming full emulation.
